Date,Unix,Ticker,Price,stock_p_change,SP500,SP500_p_change,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Qtrly Revenue Growth,Gross Profit,EBITDA,Net Income Avl to Common,Diluted EPS,Qtrly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior month
2008-12-25 18:49,1230198596,syk,35.19043,29.22,72.002312,32.8,16170000000,13980000000,14.59,12.55,0.81,2.42,2.8,2.1,7.353,17.22,22.7,13.09,21.02,6660000000,16.201,13.7,4140000000,1900000000,1150000000,2.75,19.7,2210000000,5.468,21200000,0.004,4.365,14.23,1120000000,781280000,1.07,41.93,57.09,2916190,403730000,291300000,27.69,52.9,11020000,2.4,2.9,9490000
2011-07-08 20:54,1310126045,syk,54.623619,-9.56,117.581619,2.95,23330000000,21650000000,18.97,14.63,1.48,3.12,3.16,2.87,9.3,16.71,25.23,11.14,17.83,7540000000,19.1,12,5030000000,2330000000,1260000000,3.17,-4.4,2890000000,7.44,1020000000,13.75,4.1,19.21,1480000000,863910000,0.96,59.93,59.62,2123960,388000000,274050000,20.15,64.1,6420000,3,1.8,7920000
2013-06-05 0:26,1370359596,syk,61.423141,32.59,146.532089,23,25220000000,23380000000,20.4,14.28,1.92,2.93,3.01,2.69,11.31,14.41,20.62,8.43,15.2,8690000000,22.84,1.3,5880000000,2070000000,1250000000,3.27,-13.1,4490000000,11.87,2770000000,32.78,4.66,22.37,1860000000,1470000000,0.94,66.63,62.33,1526810,378060000,309300000,19.38,68,5920000,4.1,1.8,5870000
2006-04-10 15:13,1144649617,symc,12.111577,1.91,101.881805,13.52,17520000000,14910000000,100.54,14.86,1.04,4.77,1.27,4.12,12.631,4.36,18.01,3.69,1.83,3620000000,3.952,65.3,2130000000,1180000000,157720000,0.167,-44.5,2840000000,2.722,507400000,0.037,1.231,13.05,1400000000,684080000,0.59,16.5139,18.6096,16002900,1040000000,1040000000,0.2,90.2,16130000,1.1,1.5,12360000
2006-04-12 16:24,1144826691,symc,12.147669,3.21,101.20649,14.32,17420000000,15170000000,100,14.78,1.05,4.86,1.29,4.2,12.852,4.36,18.01,3.69,1.83,3620000000,3.952,65.3,2130000000,1180000000,157720000,0.17,-44.5,2840000000,2.722,507400000,0.037,1.231,13.05,1400000000,684080000,0.59,16.48,18.5,15762300,1040000000,1040000000,0.2,90.2,16130000,1.1,1.5,12360000
2006-04-15 15:48,1145083736,symc,12.198195,2.96,101.072968,14.99,17630000000,15300000000,101.2,14.96,1.06,4.85,1.29,4.23,12.958,4.36,18.01,3.69,1.83,3620000000,3.952,65.3,2130000000,1180000000,157720000,0.17,-44.5,2840000000,2.722,507400000,0.037,1.231,13.05,1400000000,684080000,0.59,16.47,18.46,15463800,1040000000,1040000000,0.2,90.2,16130000,1.1,1.6,12360000
2006-04-27 15:20,1146118850,symc,11.750686,8.78,102.894806,16.23,16590000000,14230000000,95.21,14.2,1.03,4.58,1.22,3.93,12.048,4.36,18.01,3.69,1.83,3620000000,3.952,65.3,2130000000,1180000000,157720000,0.17,-44.5,2840000000,2.722,507400000,0.037,1.231,13.05,1400000000,684080000,0.59,16.26,18.08,15050000,1040000000,1040000000,0.2,90.2,16130000,1.1,1.6,12360000
2007-04-04 17:14,1175674476,symc,12.162099,1.9,115.04985,-2.88,15670000000,14830000000,38.18,15.41,1.47,3.1,1.31,2.92,9.522,8.89,12.47,2.67,3.51,5070000000,5.111,14.3,3160000000,1560000000,450760000,0.44,25.3,2980000000,3.221,2100000000,0.174,1.313,12.997,1540000000,1270000000,0.42,17.21,19.42,17737400,924580000,922630000,0.05,90.1,40510000,2.6,4.5,44140000
2007-06-30 12:39,1183174776,symc,14.580087,-3.56,120.830994,-13.51,18200000000,17310000000,49.15,16.03,1.28,3.54,1.58,3.33,11.126,7.78,11.36,2.61,3.2,5200000000,5.413,10.2,3980000000,1560000000,404380000,0.41,-39,2990000000,3.316,2100000000,0.181,1.227,12.899,1670000000,1140000000,0.6,19.83,18.91,13459300,901020000,899130000,0.05,89.7,50710000,4.9,5.6,44290000
2008-01-25 16:35,1201246549,symc,11.822863,-17.16,107.939507,-36.03,14410000000,14770000000,47.59,12.4,1.16,2.67,1.32,2.69,10.433,5.89,10.83,2.13,2.77,5490000000,6.079,12.6,3980000000,1420000000,323240000,0.35,-60.1,2020000000,2.324,2100000000,0.189,1.013,12.839,1700000000,962660000,1.07,16.3,18.31,14295500,867280000,865140000,0.21,90.5,29380000,2.5,3.4,33060000
2008-05-02 18:15,1209719726,symc,14.03875,-8.43,115.379852,-36.26,16400000000,16690000000,51.82,12.27,1.25,2.88,1.5,2.93,11.262,5.94,11.62,2.32,2.94,5690000000,6.427,15.2,3980000000,1480000000,338360000,0.37,12.9,1980000000,2.345,2300000000,0.21,0.942,12.931,1710000000,935850000,0.42,17.23,17.36,11916100,846430000,840930000,0.22,90.2,27610000,2.2,3.3,32610000
2008-12-22 20:15,1229944546,symc,9.173905,39.34,72.334633,31.31,10460000000,11040000000,16.68,8.4,0.92,1.81,1,1.77,6.035,10.37,16.25,3.62,5.79,6220000000,7.365,7,4650000000,1830000000,645040000,0.75,178.1,2300000000,2.757,2100000000,0.188,1.082,13.389,1800000000,1230000000,1.44,12.35,17.58,17622500,836010000,829790000,0.28,95,33000000,1.7,4,27660000
2011-11-01 10:44,1320111842,symc,11.858954,10.71,107.2855,18.34,12670000000,12430000000,19.35,9.4,1.03,1.92,2.78,1.88,6.94,10.18,17.26,6.03,14.52,6610000000,8.72,13.6,5140000000,1790000000,673000000,0.88,33.8,2250000000,3.02,2010000000,43.38,0.88,6.11,1960000000,1310000000,0.88,17.29,18.17,10038500,745000000,742220000,0.27,90.8,9910000,1.1,1.3,10930000
2012-01-02 4:19,1325445582,symc,11.295958,20.26,111.063309,15.99,11540000000,11300000000,17.8,8.69,0.95,1.75,2.54,1.71,6.31,10.18,17.26,6.03,14.52,6610000000,8.72,13.6,5140000000,1790000000,673000000,0.88,33.8,2250000000,3.06,2010000000,43.38,0.88,6.18,1960000000,1460000000,0.5,15.94,17.25,7716280,737160000,734420000,0.27,90.8,11880000,1.8,1.6,14230000
2012-08-23 0:40,1345650050,symc,12.818926,50.12,125.672729,21.1,12530000000,11580000000,11.36,10.02,1.26,1.87,2.53,1.72,6.48,17.09,16.77,5.53,23.73,6740000000,9.22,0.9,5650000000,1790000000,1150000000,1.57,-9.9,4110000000,5.85,3050000000,59.98,1.02,7.12,1740000000,1380000000,0.78,15.46,16.35,9882540,702950000,699930000,0.39,93.1,8480000,0.8,1.1,8760000
2012-08-23 22:37,1345729027,symc,12.818926,50.12,125.672729,21.1,12480000000,11470000000,11.32,9.97,1.26,1.86,2.51,1.7,6.42,17.09,16.77,5.53,23.73,6740000000,9.22,0.9,5650000000,1790000000,1150000000,1.57,-9.9,4110000000,5.85,3050000000,59.98,1.02,7.12,1740000000,1380000000,0.78,15.58,16.35,9954260,702950000,699930000,0.39,93.1,8480000,0.8,1.1,8760000
2013-04-25 8:14,1366845244,symc,17.647678,-14.85,144.033463,19.89,16800000000,15050000000,15.41,12.69,1.65,2.46,3.26,2.2,8.19,16.61,17.34,5.67,22.97,6840000000,9.63,4.4,5650000000,1840000000,1140000000,1.58,-11.7,4250000000,6.17,3080000000,59.66,1.06,7.48,1670000000,1470000000,0.92,24.35,20.94,7693900,689190000,687000000,0.27,91.9,13270000,1.7,1.9,14580000
2006-08-22 11:58,1156215515,syy,21.165459,13.92,102.631844,14.77,18590000000,20150000000,22.1,16.52,1.35,0.57,6.09,0.62,10.246,2.62,4.58,11.75,29.12,32630000000,52.509,6.6,5780000000,1970000000,846040000,1.36,-10.7,201900000,0.326,1760000000,0.577,1.364,4.937,1120000000,823920000,0.88,29.13,30.23,2415470,618530000,615560000,0.41,70.8,9620000,5.3,1.6,8630000
2007-04-10 7:26,1176157606,syy,24.172205,-14.83,115.657654,-4.24,20630000000,22320000000,24.13,18.58,1.49,0.61,6.45,0.66,10.952,2.56,4.67,11.64,30.8,33890000000,54.704,7.5,6290000000,2040000000,908090000,1.39,15.9,185860000,0.301,1870000000,0.587,1.395,5.159,1350000000,727590000,1.26,32.97,34.48,2724660,616990000,614030000,0.24,76.1,9100000,3.2,1.5,10800000
2007-12-25 20:17,1198581478,syy,23.08157,-26.17,121.074936,-40.53,19970000000,21370000000,19.36,15.71,1.35,0.65,7.33,0.6,10.015,2.9,4.95,11.42,32.01,35780000000,58.077,8.5,6760000000,2130000000,1040000000,1.66,16,190150000,0.313,1980000000,0.599,1.49,4.37,1420000000,739520000,1,32.6,33.03,3122380,620300000,606870000,0.21,71.5,5860000,1.3,1,5750000
2008-03-02 14:46,1204436796,syy,20.256735,-23.25,108.572357,-45.97,16940000000,18910000000,16.51,14.17,1.24,0.48,5.27,0.52,8.749,2.9,4.93,11.66,32.15,36450000000,59.431,7.8,6760000000,2160000000,1060000000,1.7,7.1,168790000,0.28,2140000000,0.644,1.494,5.504,1260000000,610950000,0.85,28.96,32.04,3761540,603580000,602290000,0.21,75.9,7920000,2.3,1.3,6110000
2008-05-01 16:34,1209627243,syy,22.850239,-19.62,115.06189,-36.08,18810000000,20240000000,17.85,15.75,1.31,0.5,5.62,0.55,9.205,2.91,4.95,11.8,32.51,37020000000,60.726,6.7,6760000000,2200000000,1080000000,1.747,9,243920000,0.404,2050000000,0.623,1.423,5.44,1440000000,818570000,0.9,28.7575,30.419,3238950,603170000,599920000,0.2,75.7,8500000,3.6,1.4,8950000
2009-01-03 15:50,1230965424,syy,17.874775,21.4,77.236702,22.65,14350000000,15980000000,13.05,12.04,1.04,0.36,3.93,0.42,6.93,2.94,5.08,11.88,32.81,37990000000,62.928,5,7190000000,2310000000,1120000000,1.835,3.7,345630000,0.577,1980000000,0.565,1.567,5.831,1470000000,934810000,0.92,22.7015,27.5988,5228520,599140000,595550000,0.25,75.6,8180000,1.7,1.4,8620000
2013-04-22 1:42,1366562557,syy,30.264334,8.27,141.898209,22.74,20340000000,23120000000,19.07,16.61,2.34,0.46,4.09,0.53,8.93,2.48,4.89,11.12,22.46,43430000000,73.99,5.4,7680000000,2590000000,1080000000,1.82,-11.5,321290000,0.55,3110000000,63.35,1.77,8.37,1250000000,786980000,0.75,34.15,32.12,3794000,585990000,584840000,0.21,80.3,36030000,8.9,6.1,35900000
2013-05-02 5:04,1367438679,syy,30.517052,6.87,145.151031,20.09,20260000000,23180000000,18.99,16.54,2.37,0.47,4.16,0.53,8.95,2.48,4.89,11.12,22.46,43430000000,73.99,5.4,7680000000,2590000000,1080000000,1.82,-11.5,321290000,0.55,3110000000,63.35,1.77,8.37,1250000000,786980000,0.75,34.56,32.32,3790740,585990000,584840000,0.21,80.3,32490000,8.1,5.5,36030000
2006-12-06 0:20,1165332047,t,19.275686,15.8,112.32045,8.45,1.3327E+11,1.6184E+11,18.72,13.49,1.48,2.19,2.38,2.69,7.563,11.76,16.74,5.94,14.8,60170000000,15.822,51.8,24670000000,21400000000,7070000000,1.85,73.8,1250000000,0.326,31510000000,0.569,0.565,14.379,15180000000,9460000000,0.6,33.58,30.45,23640200,3840000000,3840000000,0.1,66.6,134930000,5.2,3.5,134860000
