Date,Unix,Ticker,Price,stock_p_change,SP500,SP500_p_change,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Short % of Float,Shares Short (prior month
0,0,RDC,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,RF,0,0,0,0,15120000000.0,29320000000.0,9.75,9.09,1.0,2.75,1.05,5.34,,31.66,35.62,1.23,9.86,5490000000.0,5.16,-2.9,5530000000.0,,1480000000.0,1.56,-4.8,2089999999.9999998,2.07,15320000000.0,,,14.5,2700000000.0,,1.59,14.48,14.97,11460000.0,1120000000.0,1010000000.0,0.53,76.66,12490000.0,1.04,1.4,11750000.0
0,0,RHI,0,0,0,0,6760000000.0,6680000000.0,15.36,13.52,2.3,1.15,6.17,1.14,10.06,7.63,10.2,18.28,40.87,5870000000.0,49.23,5.2,2410000000.0,664430000.0,447920000.0,3.72,14.2,269640000.0,2.31,277290000.0,25.75,1.7,9.26,583180000.0,417490000.0,1.3,56.12,61.12,1430000.0,118560000.0,113190000.0,2.78,97.78,10190000.0,7.52,10.11,10840000.0
0,0,RHT,0,0,0,0,33430000000.0,31380000000.0,75.05,41.53,2.88,9.6,19.02,9.01,45.17,13.26,16.54,6.69,28.96,3480000000.0,19.7,14.8,2860000000.0,694740000.0,461920000.0,2.5,24.7,2470000000.0,13.89,423910000.0,24.11,1.24,9.87,1130000000.0,952100000.0,-0.26,186.34,181.88,1670000.0,175970000.0,171810000.0,0.67,92.0,6430000.0,4.41,4.06,6810000.0
0,0,RL,0,0,0,0,8420000000.0,7500000000.0,20.87,12.72,1.27,1.33,2.61,1.19,7.7,6.83,11.19,7.31,12.78,6310000000.0,78.32,-1.5,3890000000.0,973900000.0,430900000.0,5.27,-23.5,1990000000.0,25.46,929900000.0,28.29,2.99,42.1,783800000.0,443850000.0,1.19,111.51,118.32,1080000.0,51900000.0,47350000.0,0.65,102.27,5040000.0,5.11,11.39,3980000.0
0,0,ROK,0,0,0,0,18060000000.0,19510000000.0,19.64,16.18,2.35,2.68,13.66,2.9,13.16,14.43,19.87,13.09,59.13,6730000000.0,55.42,0.4,2870000000.0,1480000000.0,969900000.0,7.85,52.2,902200000.0,7.62,2230000000.0,166.96,1.59,11.29,1060000000.0,656800000.0,1.6,158.11,168.2,120270000.0,120270000.0,117530000.0,0.65,78.03,2700000.0,3.17,2.25,2730000.0
0,0,ROP,0,0,0,0,39210000000.0,43310000000.0,35.74,27.95,9.64,7.43,4.81,8.21,23.84,20.9,27.34,6.11,14.42,5280000000.0,51.04,7.0,3280000000.0,1820000000.0,1100000000.0,10.55,74.9,392500000.0,3.78,4780000000.0,58.77,1.1,78.36,1440000000.0,1310000000.0,1.05,362.37,329.44,103840000.0,103840000.0,103280000.0,2.26,94.84,1620000.0,2.99,2.11,2009999.9999999998
0,0,ROST,0,0,0,0,37420000000.0,38150000000.0,23.87,20.64,2.52,2.46,11.47,2.51,16.1,10.47,13.4,16.88,49.72,15190000000.0,41.41,5.8,4830000000.0,2370000000.0,1590000000.0,4.3,0.7,1370000000.0,3.75,3360000000.0,102.95,1.34,8.95,2100000000.0,1350000000.0,0.84,98.51,94.46,2350000.0,367440000.0,356800000.0,2.1,95.99,5900000.0,2.15,1.64,6330000.0
0,0,RRC,0,0,0,0,1600000000.0,5410000000.0,,9.36,0.82,0.47,0.37,1.6,4.74,-52.97,-0.02,-0.0,-36.26,3390000000.0,13.73,7.0,1530000000.0,1140000000.0,-1790000000.0,-7.27,-97.1,0.0,0.0,3850000000.0,94.7,0.58,16.65,880810000.0,64590000.0,0.95,7.09,9.58,8430000.0,251140000.0,242280000.0,1.41,109.62,63550000.0,7.8,30.74,56060000.0
0,0,RSG,0,0,0,0,28130000000.0,36730000000.0,27.56,24.28,2.83,2.79,3.54,3.64,13.15,10.25,16.76,4.93,13.07,10080000000.0,31.05,1.8,3850000000.0,2790000000.0,1030000000.0,3.16,-1.5,68000000.0,0.21,8660000000.0,109.28,0.42,24.62,2220000000.0,755830000.0,0.46,86.18,80.24,1080000.0,321680000.0,212320000.0,0.17,96.87,4710000.0,4.45,2.22,4250000.0
0,0,RSH,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,RTN,0,0,0,0,50130000000.0,53580000000.0,16.59,13.78,1.18,1.82,4.25,1.95,13.61,11.11,12.49,6.92,26.53,27520000000.0,96.61,7.4,7490000000.0,3940000000.0,3060000000.0,10.72,23.4,2089999999.9999998,7.48,5710000000.0,47.02,1.43,41.81,2730000000.0,1650000000.0,1.02,178.41,176.04,2029999.9999999998,280220000.0,279240000.0,0.18,76.92,3320000.0,1.34,1.19,3400000.0
0,0,S,0,0,0,0,29610000000.0,62220000000.0,,-53.19,0.6,0.88,1.08,1.85,4.87,-5.78,10.1,2.49,-7.4,33600000000.0,8.28,4.4,20210000000.0,12780000000.0,-1940000000.0,-0.48,,7050000000.0,1.72,39920000000.0,152.8,1.06,6.39,10430000000.0,-2890000000.0,0.2,6.92,6.28,24250000.0,4000000000.0,633420000.0,0.22,15.11,111700000.0,3.34,,97850000.0
0,0,SAI,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,SBUX,0,0,0,0,107170000000.0,108620000000.0,38.22,28.63,2.41,4.19,,4.25,21.12,11.86,14.6,13.25,,25550000000.0,19.67,4.5,7350000000.0,5140000000.0,3030000000.0,2.32,0.5,2130000000.0,1.76,9220000000.0,,0.94,-4.16,12420000000.0,2900000000.0,0.44,82.12,73.94,7680000.0,1210000000.0,1170000000.0,3.21,75.31,24200000.0,2.9,2.01,22250000.0
0,0,SCG,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,SCHL,0,0,0,0,1150000000.0,843380000.0,23.71,36.79,4.66,0.69,0.91,0.5,7.34,2.89,4.5,2.45,3.82,1680000000.0,47.88,4.5,883900000.0,114900000.0,48500000.0,1.38,,338100000.0,9.6,11000000.0,0.87,1.58,36.04,137100000.0,109240000.0,0.97,33.77,38.93,33560000.0,33560000.0,29780000.0,10.78,86.83,1030000.0,5.78,3.85,1250000.0
0,0,SCHW,0,0,0,0,52990000000.0,17670000000.0,15.56,14.39,2.43,5.07,2.86,1.69,,35.27,46.13,1.39,18.01,10460000000.0,7.78,13.6,9890000000.0,,3510000000.0,2.59,23.1,47000000000.0,35.21,8940000000.0,41.32,0.35,14.11,9610000000.0,,0.92,41.46,44.0,7700000.0,1340000000.0,1190000000.0,11.25,81.15,18370000.0,2.0,1.54,17100000.0
0,0,SD,0,0,0,0,244810000.0,257180000.0,9.16,3.1,0.77,0.77,0.29,0.81,1.37,8.4,10.77,2.03,3.2,316030000.0,8.97,-15.9,237220000.0,188090000.0,26540000.0,0.75,,7350000.0,0.21,20360000.0,2.41,0.39,23.9,146680000.0,-30670000.0,1.5,6.71,7.85,35690000.0,35690000.0,34220000.0,2.2,82.99,1380000.0,4.4,4.5,1570000.0
0,0,SE,0,0,0,0,15940000000.0,10720000000.0,,-34.77,,15.57,8.68,10.48,-11.47,-140.26,-100.09,-21.72,-156.9,1020000000.0,2.95,126.9,14760000.0,-935000000.0,-1440000000.0,-4.13,,2360000000.0,6.37,767530000.0,50.04,2.26,4.13,-418680000.0,-415670000.0,,31.82,22.65,4340000.0,444970000.0,187960000.0,2.22,40.85,29420000.0,5.98,,27440000.0
0,0,SEE,0,0,0,0,6580000000.0,9990000000.0,15.01,14.07,1.22,1.4,,2.12,12.03,9.57,14.83,8.57,,4710000000.0,30.07,-1.6,1500000000.0,830300000.0,421600000.0,2.85,,236000000.0,1.52,3570000000.0,,1.05,-1.88,526799999.99999994,255440000.0,1.08,43.12,42.52,1260000.0,155700000.0,153510000.0,1.51,100.27,6990000.0,5.05,5.1,8900000.0
0,0,SFLY,0,0,0,0,1730000000.0,2590000000.0,,29.05,1.78,0.83,2.89,1.24,11.98,-0.29,3.88,3.04,-1.05,2089999999.9999998,62.18,62.6,1010000000.0,216560000.0,-6060000.0,-0.18,,180780000.0,5.29,1050000000.0,175.02,1.2,17.51,182140000.0,241570000.0,1.42,49.71,44.9,1170000.0,34200000.0,32140000.0,0.59,114.18,4310000.0,2.54,17.78,3420000.0
0,0,SHLD,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,SHW,0,0,0,0,42120000000.0,53790000000.0,39.47,19.06,1.6,2.39,12.25,3.06,21.77,6.27,10.72,5.71,30.88,17610000000.0,190.08,1.9,7420000000.0,2470000000.0,1100000000.0,11.68,-2.0,94390000.0,1.03,11560000000.0,334.08,0.96,37.63,1870000000.0,1600000000.0,1.24,455.49,432.93,92320000.0,92320000.0,82240000.0,10.73,78.98,1370000.0,2.43,1.64,1200000.0
0,0,SIAL,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,SIRI,0,0,0,0,27970000000.0,35350000000.0,25.64,23.08,5.58,4.56,181.82,5.76,16.57,17.08,29.48,11.59,,6140000000.0,1.37,26.8,3060000000.0,2130000000.0,1050000000.0,0.23,-43.9,62000000.0,0.01,7630000000.0,4953.25,0.28,0.03,1860000000.0,1030000000.0,0.96,5.57,5.82,26500000.0,4480000000.0,1300000000.0,73.14,17.8,183850000.0,7.19,12.96,175130000.0
0,0,SJM,0,0,0,0,12960000000.0,19300000000.0,25.27,12.96,3.02,1.65,1.63,2.46,12.08,6.56,14.69,4.49,6.49,7840000000.0,68.87,6.8,2920000000.0,1600000000.0,514400000.0,4.52,-61.5,101300000.0,0.89,5960000000.0,74.77,0.69,70.07,1140000000.0,713240000.0,0.57,121.52,113.0,114040000.0,114040000.0,109210000.0,4.53,80.53,6610000.0,6.51,6.82,5250000.0
0,0,SKS,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,SLB,0,0,0,0,56310000000.0,69860000000.0,28.04,19.27,1.28,1.71,1.56,2.13,10.47,6.19,9.4,2.72,5.62,32860000000.0,23.73,0.6,4340000000.0,6670000000.0,2029999999.9999998,1.45,-19.8,2160000000.0,1.56,16550000000.0,45.31,1.35,26.07,5470000000.0,2650000000.0,1.78,37.45,41.44,9880000.0,1390000000.0,1380000000.0,0.12,80.19,18390000.0,1.78,1.33,16900000.0
0,0,SLM,0,0,0,0,4179999999.9999995,6930000000.0,8.26,6.58,0.49,3.55,1.54,5.88,,44.07,51.46,2.04,18.36,1180000000.0,2.71,21.4,1120000000.0,,502700000.0,1.14,25.3,2160000000.0,4.99,4480000000.0,146.98,1.38,6.12,-71870000.0,,1.94,9.6,10.03,2860000.0,432270000.0,390830000.0,0.48,104.1,25220000.0,10.76,5.83,24210000.0
0,0,SNA,0,0,0,0,8570000000.0,9700000000.0,12.71,11.87,1.82,2.11,2.69,2.39,9.33,17.12,23.66,11.11,22.51,4059999999.9999995,72.46,-1.1,2100000000.0,1040000000.0,694800000.0,12.21,9.1,156200000.0,2.82,1150000000.0,35.86,2.42,57.72,733900000.0,524799999.99999994,1.33,161.38,160.08,55400000.0,55400000.0,54720000.0,1.23,101.38,8980000.0,22.66,18.35,8920000.0
0,0,SNDK,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,SNE,0,0,0,0,68820000000.0,68519999999.99999,11.55,14.73,-0.66,,2.28,,,10.57,0.0,2.65,23.86,,,9.6,,,,4.76,,,,,30.86,0.86,24.08,,,1.02,51.19,48.29,1680000.0,1270000000.0,1230000000.0,0.0,7.8,3890000.0,2.68,,3360000.0
0,0,SNI,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,SNTS,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,SO,0,0,0,0,58830000000.0,109430000000.0,17.22,17.84,8.6,2.61,2.21,4.86,14.76,14.96,17.24,2.15,11.89,22540000000.0,21.94,-15.1,9650000000.0,7410000000.0,3370000000.0,3.26,122.2,1360000000.0,1.31,45970000000.0,148.39,0.88,25.41,6180000000.0,-3210000000.0,0.28,55.1,51.28,4110000.0000000005,1040000000.0,1040000000.0,0.08,57.65,17610000.0,4.15,1.69,14110000.0
0,0,SPG,0,0,0,0,49900000000.0,75410000000.0,21.2,22.12,2.74,8.87,15.8,13.4,18.07,42.09,51.12,5.81,67.12,5630000000.0,18.19,-1.0,4620000000.0,4170000000.0,2360000000.0,7.65,-11.6,436800000.0,1.41,23710000000.0,603.9,0.29,10.26,3740000000.0,1890000000.0,0.54,163.87,174.0,1430000.0,308990000.0,306780000.0,0.5,98.75,10170000.0,6.48,4.32,9260000.0
0,0,SPLS,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,SRCL,0,0,0,0,4139999999.9999995,7360000000.0,,11.87,2.17,1.21,1.61,2.15,10.86,-8.91,12.12,3.74,-11.07,3420000000.0,38.7,-7.3,1390000000.0,677500000.0,-312100000.0,-3.54,,48200000.0,0.53,3200000000.0,124.57,1.02,28.27,91500000.0,31250000.0,1.99,46.43,47.63,90770000.0,90770000.0,89970000.0,1.24,104.16,10560000.0,13.89,13.24,10080000.0
0,0,SRE,0,0,0,0,38450000000.0,67730000000.00001,37.56,19.84,2.77,3.19,2.53,5.62,17.03,9.55,20.0,2.47,7.17,12050000000.0,44.26,14.3,4090000000.0,3980000000.0,1210000000.0,3.71,27.2,78000000.0,0.28,25110000000.0,128.96,0.38,55.07,3430000000.0,-761880000.0,0.33,136.27,124.7,1480000.0,274180000.0,273950000.0,0.15,99.42,20650000.0,15.17,8.56,18150000.0
0,0,STI,0,0,0,0,28510000000.0,50020000000.0,11.33,11.02,4.4,3.18,1.26,5.58,,30.23,38.55,1.28,11.08,8970000000.0,19.73,-1.5,9010000000.0,,2610000000.0,5.7,-9.8,10300000000.0,23.21,29290000000.0,,,51.15,1950000000.0,,1.56,62.73,61.63,2330000.0,464830000.0,441950000.0,0.37,82.93,10630000.0,4.19,2.39,9830000.0
0,0,STJ,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,STT,0,0,0,0,20230000000.0,-8189999999.999999,9.21,8.1,10.2,1.71,0.97,-0.69,,20.68,29.11,1.02,10.32,11840000000.0,31.6,-4.2,11970000000.0,,2260000000.0,5.96,-22.9,64890000000.0,173.89,32700000000.000004,,,56.67,5130000000.0,,1.62,56.14,65.05,2960000.0,373160000.0,352800000.0,0.32,89.86,4780000.0,1.32,1.27,4179999.9999999995
0,0,STX,0,0,0,0,12680000000.0,15880000000.0,9.09,9.77,1.43,1.17,7.66,1.46,7.07,13.73,15.68,12.08,97.61,10850000000.0,38.08,-17.5,3370000000.0,2250000000.0,1490000000.0,5.14,-48.8,1390000000.0,5.01,4520000000.0,267.73,1.62,6.1,1780000000.0,837370000.0,1.9,45.14,45.26,2990000.0,276840000.0,245800000.0,56.34,0.0,18390000.0,6.65,8.24,15570000.0
0,0,STZ,0,0,0,0,37810000000.0,52480000000.0,15.66,20.91,3.75,4.63,3.09,6.43,17.45,29.96,32.75,6.42,21.48,8170000000.0,42.85,2.4,4099999999.9999995,3010000000.0,2450000000.0,12.61,,98700000.0,0.52,14000000000.0,112.11,1.22,63.89,2340000000.0,800250000.0,1.13,190.6,182.15,1740000.0,167210000.0,159770000.0,5.3,84.69,7130000.0,3.25,4.47,6950000.0
0,0,SWK,0,0,0,0,21510000000.0,27840000000.0,35.74,15.09,1.75,1.52,3.02,1.97,11.48,4.28,13.5,5.79,7.4,14110000000.0,95.17,3.9,4920000000.0,2430000000.0,604500000.0,4.01,-0.4,281800000.0,1.86,5700000000.0,71.86,0.91,47.4,1180000000.0,1420000000.0,1.49,139.57,135.59,1160000.0,151360000.0,140420000.0,0.26,89.62,2200000.0,2.47,1.46,2180000.0
0,0,SWN,0,0,0,0,1530000000.0,3660000000.0,1.68,4.21,-0.36,0.39,0.5,0.93,2.7,23.47,20.78,7.21,35.98,3930000000.0,6.94,7.6,1850000000.0,1360000000.0,924000000.0,1.627,185.6,367000000.0,0.68,2320000000.0,78.96,0.94,5.45,1300000000.0,-60250000.0,1.23,3.2929,4.0145,17020000.0,541210000.0,536549999.99999994,0.56,102.75,120330000.0,7.63,35.74,106900000.0
0,0,SWY,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,SYK,0,0,0,0,78260000000.0,163360000000.0,22.57,23.41,2.46,5.64,6.69,11.77,41.97,25.38,22.74,8.2,33.68,13880000000.0,37.11,8.5,8980000000.0,3890000000.0,3520000000.0,9.27,-7.0,1760000000.0,2.35,8820000000.0,75.41,2.12,31.28,2630000000.0,1650000000.0,1.01,196.64,185.49,1170000.0,373810000.0,656680000.0,7.92,76.13,2850000.0,2.58,0.86,2710000.0
0,0,SYMC,0,0,0,0,16219999999.999998,15860000000.0,591.25,13.89,1.51,3.43,2.79,3.35,15.86,0.65,13.13,2.45,0.3,4730000000.0,7.49,-1.7,3680000000.0,1000000000.0,16000000.0,0.04,,2040000000.0,3.31,4450000000.0,77.59,0.85,9.11,1500000000.0,1310000000.0,1.24,20.72,21.66,8039999.999999999,639220000.0,573320000.0,1.03,93.33,16129999.999999998,2.02,2.91,13270000.0
